epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,1387.64,0.91502,0.54848,1.0822,0.82864,0.69444,0.7616,0.36868,1.72107,0.8216,1.94487,0.0005744,0.0005744,0.0005744
110,1402.11,0.82871,0.53827,1.03948,0.8043,0.79928,0.80773,0.36216,1.73811,0.81243,1.93596,0.0005612,0.0005612,0.0005612
111,1411.66,0.81446,0.52673,1.04151,0.8696,0.77778,0.8324,0.38277,1.71053,0.86561,1.93436,0.000548,0.000548,0.000548
112,1426.73,0.81045,0.50981,1.05798,0.87422,0.77778,0.83148,0.38008,1.77051,0.91447,2.02662,0.0005348,0.0005348,0.0005348
113,1435.08,0.84782,0.56611,1.07512,0.84574,0.72222,0.81893,0.37646,1.78623,0.93297,2.05702,0.0005216,0.0005216,0.0005216
114,1446.78,0.85799,0.54582,1.03698,0.86742,0.75,0.83151,0.36195,1.77785,0.92587,2.0507,0.0005084,0.0005084,0.0005084
115,1460.61,0.84763,0.55789,1.04735,0.87034,0.74596,0.82072,0.35203,1.78931,0.91329,2.06922,0.0004952,0.0004952,0.0004952
116,1473.68,0.80734,0.56111,1.03245,0.80241,0.77778,0.79192,0.35048,1.80625,0.88355,2.20702,0.000482,0.000482,0.000482
117,1488.08,0.79952,0.53691,1.02922,0.86245,0.75,0.80358,0.36069,1.7775,0.88153,2.10892,0.0004688,0.0004688,0.0004688
118,1496.52,0.78979,0.49435,1.0163,0.84212,0.74102,0.79372,0.36005,1.78351,0.88895,2.07154,0.0004556,0.0004556,0.0004556
119,1504.97,0.79235,0.51561,1.06627,0.86232,0.75,0.79985,0.37522,1.79018,0.85645,2.09389,0.0004424,0.0004424,0.0004424
120,1518.63,0.7673,0.50215,1.01399,0.84238,0.77778,0.79489,0.39715,1.81022,0.82887,2.16591,0.0004292,0.0004292,0.0004292
121,1526.55,0.78062,0.50933,1.04856,0.87731,0.80556,0.82451,0.39549,1.75026,0.82982,2.08585,0.000416,0.000416,0.000416
122,1536.19,0.80418,0.50015,1.06214,0.84316,0.74677,0.79392,0.39191,1.70366,0.80657,2.03262,0.0004028,0.0004028,0.0004028
123,1549.15,0.75345,0.50312,1.00351,0.9291,0.80556,0.86506,0.39985,1.71369,0.80871,2.03313,0.0003896,0.0003896,0.0003896
124,1563.69,0.77202,0.49182,0.99949,0.90138,0.77778,0.8247,0.37449,1.75877,0.85636,2.01774,0.0003764,0.0003764,0.0003764
125,1578.26,0.76898,0.50019,1.01724,0.89711,0.77778,0.80582,0.36827,1.75784,0.91135,2.01706,0.0003632,0.0003632,0.0003632
126,1586.92,0.76842,0.47989,1.016,0.89892,0.77778,0.8175,0.38375,1.74794,0.90959,2.04504,0.00035,0.00035,0.00035
127,1600.39,0.7605,0.48811,1.00105,0.87044,0.74657,0.79809,0.3698,1.7747,0.94305,2.06251,0.0003368,0.0003368,0.0003368
128,1612.76,0.75029,0.47186,1.00151,0.87089,0.74952,0.7877,0.3643,1.83408,0.88641,2.2618,0.0003236,0.0003236,0.0003236
